# section	command	result  — generated from DevCouncil's TaskPolicyEngine; regenerate with scripts/gen-command-parity.py
# task allowed_commands: pytest * | go test * | make build | .venv/bin/dev *
# global allowed_commands: npm install
NORM		
NORM	   	
NORM	dev status	dev status
NORM	dev status --json	dev status --json
NORM	dev tasks	dev tasks
NORM	dev next-task	dev next-task
NORM	dev checkout TASK-001	dev checkout TASK-001
NORM	dev approve	dev approve
NORM	git status	git status
NORM	git diff	git diff
NORM	git diff --stat	git diff --stat
NORM	echo hello	echo hello
NORM	true	true
NORM	:	:
NORM	dev map	dev map
NORM	dev map query foo	dev map query foo
NORM	dev graph query foo	dev graph query foo
NORM	dev doctor	dev doctor
NORM	dev release TASK-001	dev release TASK-001
NORM	dev scope update	dev scope update
NORM	dev run-cmd pytest	dev run-cmd pytest
NORM	pytest tests/	pytest tests/
NORM	python -m pytest tests/ -q	python -m pytest tests/ -q
NORM	uv run pytest tests/	uv run pytest tests/
NORM	uv run dev map	uv run dev map
NORM	uv run --project . dev map	uv run dev map
NORM	uv run --directory /repo dev status	uv run dev status
NORM	uv run -p /repo dev map query x	uv run dev map query x
NORM	.venv/bin/dev map	dev map
NORM	/abs/path/.venv/bin/dev status	dev status
NORM	./scripts/dev map	dev map
NORM	DevCouncil/dev map	DevCouncil/dev map
NORM	devcouncil status	dev status
NORM	dev map > /tmp/out.json	dev map
NORM	dev map >> /tmp/out.json	dev map
NORM	dev map 2> /tmp/err	dev map
NORM	dev map 2>&1	dev map
NORM	cd repo	cd repo
NORM	cd repo && dev map	cd repo && dev map
NORM	pushd /tmp	pushd /tmp
NORM	popd	popd
NORM	cdx something	cdx something
NORM	rm -rf /	rm -rf /
NORM	npm install	npm install
NORM	make build	make build
NORM	cargo test	cargo test
NORM	go test ./...	go test ./...
NORM	git commit -m 'x'	git commit -m 'x'
NORM	git commit --no-verify -m 'x'	git commit --no-verify -m 'x'
NORM	git commit --no-gpg-sign -m 'x'	git commit --no-gpg-sign -m 'x'
NORM	git reset --hard main	git reset --hard main
NORM	git reset --hard origin/main	git reset --hard origin/main
NORM	git reset --hard origin/master	git reset --hard origin/master
NORM	git reset --hard HEAD~1	git reset --hard HEAD~1
NORM	git push origin --force	git push origin --force
NORM	git push origin --force-with-lease	git push origin --force-with-lease
